SUPPLIER_ID;SUP_NAME
 10902899;B00003       BEVERIDGIS AND TRAIDING                                                                
 10902900;B00004       BAZA-4  ZAO                                                                            
 10902901;B00005       BELLIGEN TD                                                                            
 11168902;B0005         ¬–≈Ã≈Õ¿ √Œƒ¿  “ƒ                                                                      
 10902903;B10000       TP BIRNS                                                                               
 10902904;B10001       BORALEX                                                                                
 16222992;B10027    ISSEY MIYAKI BPI                                                                          
 16222990;B10029    NARCISO RODRIGUES BPI                                                                     
 15962875;B21456      CARON ¡»¡» ŒÃ (»À‹»Õ¿)                                                                  
 16164156;B21457      MEMO ¡»¡» ŒÃ (»À‹»Õ¿)                                                                   
 16164157;B21458      PRUDENCE ¡»¡» ŒÃ (»À‹»Õ¿)                                                               
 16164158;B21459      HOUBIGANT ¡»¡» ŒÃ (»À‹»Õ¿)                                                              
 16164160;B21460      HISTORES DE PARFUMS ¡»¡» ŒÃ (»À‹»Õ¿)                                                    
 16222849;B54321   BYREDO ESTERK                                                                              
 13672106;B99999     BIOTHERM SKY                                                                             
 15054381;BB55515   BETTY BARCLAY - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿                                                             
 16223339;"BIK1113    OOO""BIK""                                                                                 "
 16223562;BR75321  BURBERRY BPI                                                                               
 16223608;BV10020  BOTTEGA VENETA                                                                             
 10902906;C00001       COCA-COLA USD                                                                          
 10902907;C00010       KC FUDS                                                                                
 10968807;C00012       À»Õ»ﬂ ◊»Õ ”≈ OOO                                                                       
 10902908;C10000       CASIO 000                                                                              
 10902912;C15000       CHASPROMTORG  ZAO                                                                      
 15091267;C23456       COTY                                                                                   
 15913684;C27565       CHANEL PARFUMS                                                                         
 15316079;C31803       CHRISTIAN DIOR                                                                         
 14008009;CA12345  C.AGUILERA  - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿                                                                
 14832869;CH34567   CHURCHILLS                                                                                
 13934647;CK11111    CK WATCHES                                                                               
 16223578;COTY                                                                                                
 10902913;D00001      DENVIEW U.E.                                                                            
 10902914;D00002      DMITROV-ALKO  OOO                                                                       
 11003144;D10000      ƒ»À¿Õ+ OOO                                                                              
 10902916;D10001      DENVIEW RBL                                                                             
 13530515;D10005       ›Õƒ»À¿…Õ ŒŒŒ                                                                           
 16222253;D20030       DOLCE & GABBANA P&G                                                                    
 10902918;D50005      DEMOS-APS AOOT                                                                          
 11715231;D5005005  ƒœ-“–≈…ƒ ŒŒŒ                                                                              
 14008011;D67890     DAVIDOFF - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿                                                                 
 15981558;DE22222      DESIGUAL                                                                               
 11310611;DG10067    D&G  WATCHES                                                                             
 16222279;DR5432      DE RIGO                                                                                 
 15962795;DZ55555   ƒ–≈¬Œ ∆»«Õ» ŒŒŒ                                                                           
 10902919;E00001       APOLLO ELECTRONICS                                                                     
 10902921;E00003       INTERPRODUCT  ZAO                                                                      
 11163369;E00004       ≈¬–¿—≈–¬»—  ŒŒŒ                                                                        
 10902922;E00005       ELECTROCOMPROECT                                                                       
 10902924;E0002         UVELCOM  OOO                                                                          
 10912753;E10000       ≈ƒ»Õ¿ﬂ  ≈¬–Œœ¿  ’ŒÀƒ»Õ√                                                                
 16222630;E10022       ESCADA P&G                                                                             
 10902925;E11000       EVRAZIYA OOO                                                                           
 16223481;"E12468   OOO ""›—“≈– ""                                                                               "
 16223503;E22222     ≈¬–¿«»ﬂ                                                                                  
 16223530;E25555    ›À»“ ¡›√« (CK)                                                                            
 15644008;E33962       HUGO BOSS PARFUME                                                                      
 16222631;E33965       LACOSTE P&G                                                                            
 16223569;E55552   GIULIETTA CAPULETI EXILITY                                                                 
 16223570;E55553   MIMMINA FLOWER EXILITY                                                                     
 10924931;E55555       ESSE DP EURO                                                                           
 15981401;E77712       ESTER BIJOUX                                                                           
 16222206;ELIT BAGS GROUP                                                                                     
 16222258;EN12355       ENNS                                                                                  
 16171437;EN44567       ELECTRONIC NOVELTIES                                                                  
 16223564;ES12345   ELIE SAAB                                                                                 
 16222986;ESTERK PARFUME                                                                                      
 14108649;F00009        M.FREY WILLE DP                                                                       
 10902929;F11111        FANAGORIA TRADE HOUSE OOO                                                             
 15205853;F11116    FABER CASTELL                                                                             
 11307070;F3333300   FOLLI FOLLIE WATCHES                                                                     
 12309424;F55545        FURLA                                                                                 
 15115888;F55556    FOSSIL                                                                                    
 14425730;F87654      FERAUD - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿                                                                  
 16222285;FER123      FERRERO                                                                                 
 15968000;FF34567     FENDI                                                                                   
 10902930;G00001      MASTER DISTRIBUTERS                                                                     
 10902931;G00002      GOLD  GRAIL                                                                             
 10902932;G0001        GROSS  OOO                                                                             
 10902933;G10000      GELEO OOO                                                                               
 15981116;G10036  GODIVA                                                                                      
 10902934;G11110      MASTER DISTRIBUTERS RBL                                                                 
 10902935;G11111      GIVENCHY COUTURE RBN                                                                    
 10902936;G11112       GIVENCHY COUTURE EURO                                                                  
 10902937;G11333      GUESS - IBB                                                                             
 12529723;G33311      DEL GIVENCHY PARFUME SKY                                                                
 10902938;G33322      GENERLUX TRADING S.A. DP                                                                
 15981117;G93125      GUERLAIN DP                                                                             
 16223409;"GC0003   ŒŒŒ""»Õ¬≈—“ √≈Œ –≈—”–—""(GOLDEN-CANDIES)                                                     "
 15834392;GI20000     GIVENCHY PARFUME DP                                                                     
 16034955;"GR00026     ŒŒŒ "" ŒÃœ¿Õ»ﬂ √–»Õ‘»Àƒ—""                                                                "
 14165253;GS12334  GWEN STEFANI - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿                                                               
 16223502;H10053      HERMES                                                                                  
 15904373;"H44525      ŒŒŒ""’Œ–≈ ¿ “–≈…ƒ—≈–¬»—""                                                                 "
 16223555;H66500      HIBWAY                                                                                  
 10902939;I00001        AGROS-EKO                                                                             
 10902941;I00003        COSMOPOLITAN COSMETICS                                                                
 15862053;"I00022  ŒŒŒ ""»Ãœ≈–»¿À""                                                                              "
 10915168;I22222        ISA SPA DP RBN                                                                        
 16152907;I54333    F.BOCIET  INTERLUX                                                                        
 16222786;I65432    ALYSON OLDOINI INTERLUX                                                                   
 16152906;I75666    KORLOFF  INTERLUX                                                                         
 15948027;I98765    SILLAGE  INTERLUX                                                                         
 16064641;I_SUP12       MONTALE ¡¿À“» ŒÃ                                                                      
 16222663;IMPORT                                                                                              
 16223617;INTERLUX 2                                                                                          
 10971587;IRISHBAR DP                                                                                         
 16223632;"ISUP402  ŒŒŒ ""œŒ –Œ¬— »… œ–ﬂÕ» ""                                                                    "
 13672184;J00001        JANEKE                                                                                
 15971592;J20060      JULES DESTROOPER                                                                        
 15861659;J99998      KRAFT JAKOBS SUCHARD                                                                    
 15601393;J99999       JSL TRADING AG                                                                         
 14030217;JR12345   JOHN RICHMOND                                                                             
 10902943;JR1405       DESIGN GO                                                                              
 10902944;K00001        –¿—Õ€… Œ “ﬂ¡–‹                                                                        
 10902946;K00009       KENZO JEW DP EURO                                                                      
 11852187;K0001         KENZO SILVER                                                                          
 10902947;K01110       HERMITAGE SKY                                                                          
 10902949;K10001       HERMITAGE EURO                                                                         
 10902951;K11111         ¿«”ÃﬂÕ                                                                               
 15892709;"K127566   Œ¿Œ"" « Œ“–¿ƒÕŒ≈""                                                                          "
 16223539;K15973  KEIKO MECHERI  INTERLUX                                                                     
 16223484;"K22233     OOO"" –”“ŒÕ""                                                                              "
 15768570;K28000        KENZO PARF DP                                                                         
 10902952;K44455       KOLBER WATCHES                                                                         
 16222847;K55545   KILIAN ESTERK                                                                              
 15481433;K555544     KEEL TOYS                                                                               
 13477160;K55555        Œ–ŒÕ¿ ŒŒŒ                                                                             
 11039767;K56999       ¿— ¿ƒ OOO                                                                              
 16223626;K66666  KONFAEL.JCS                                                                                 
 10902953;K99999       KENZO JEW DP RBL                                                                       
 16223620;KF33315   KORLOFF INTERLUX 2                                                                        
 16223662;KM12389   KEIKO MICHERY (À¿ ÿ≈–»)                                                                   
 16223622;KM22230   KEIKO MECHERI INTERLUX 2                                                                  
 14080114;KO15151     ŒÕ»  ŒŒŒ                                                                                
 15357422;KONIC GR                                                                                            
 15981417;KZ55555     ERCI                                                                                    
 14877652;L'OREAL LUX GROUP                                                                                   
 16222232;L10006        LONGCHAMP                                                                             
 13934538;L10010       L'OREAL PARIS                                                                          
 16223587;L10013     CHLOE                                                                                    
 16223588;L10019   MARC JACOBS COTY                                                                           
 11075402;L11000       À≈Ã¿- Œ– OOO                                                                           
 10902957;L11110       LUXOTTICA EURO UK (FORM B&L)                                                           
 10902958;L11111       LONGCHAMP                                                                              
 15828970;L12222     LINDT                                                                                    
 10912772;L13098       LA SETA MANTERO EURO                                                                   
 15840663;L13579       LAMY- ALD INT                                                                          
 16140707;L15808        LANCEL                                                                                
 11689272;L25116       LANVIN COUTURE RBN                                                                     
 11092582;L33301        L.CONNAUGHTON&SONS LTD.                                                               
 14867972;L35500       L`OCCITANE                                                                             
 15922954;"L44444_OOO ""À‘¡""                                                                                    "
 10902959;L89130       LA SETA MANTERO                                                                        
 15087679;L98888      LEGO                                                                                    
 15358688;LC00001     LES CONTES À≈ ŒÕ“                                                                       
 14348260;LL77744   BIOTHERM PBI                                                                              
 10913918;M00000      MAJORICA EURO                                                                           
 10902960;M00001      MASTER DISTRIBUTION                                                                     
 10902961;M00002      Ãƒ                                                                                      
 10902962;M00003      METRO & KERRI                                                                           
 11380711;M00008      MARKET CONNECTIONS                                                                      
 10902963;M00010      MARTHEL ZAO                                                                             
 10902964;M00011      CROCUS                                                                                  
 11410701;M0101010  Ã≈“–Œ  ≈ÿ ›Õƒ  ≈––»                                                                       
 10902965;M02000      MILLENIUM-2000                                                                          
 10902966;M03000      MAGISTR BIBENDI OOO                                                                     
 16223637;"M04660   ŒŒŒ ""Ã»–¿Õ»""                                                                               "
 10902967;M10000      MOBIL-KONSTANT OOO                                                                      
 15900160;M10049     Ã¿–— √ŒÀÀ¿Õƒ»ﬂ                                                                           
 15981555;M10096      AYDYA LTD TRAVALO MC SKY                                                                
 10902970;M10555      MISAKI V.T.LTD                                                                          
 10912570;M11000        ÿ¿–Ã  OOO                                                                             
 10902971;M11001      MERKURIY OOO                                                                            
 12738343;M12300       MAUI JIM SUNGLASSES                                                                    
 10969454;M12346       —“¿–€… Ã¿—“≈– Õ¬ ŒŒŒ                                                                   
 11002275;M20001      ÃŒ¡¿…À ›Õ≈–ƒ∆»                                                                          
 16064645;M20031      MOSCHINO                                                                                
 11641982;M21345       MD GOURMEX LTD                                                                         
 15981670;M23222      MORGAN & OATES                                                                          
 11103527;M54321      MARCOLIN GROUP                                                                          
 15954362;M57700     MGI LUXURY GROUP S.A.                                                                    
 10902973;M66666      MAJORICA DP                                                                             
 16223418;"M71113   ŒŒŒ ""Ã¿–– –”——»ﬂ""                                                                          "
 15971536;M89765      MORELLATO                                                                               
 14008127;M98765     MEXX - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿                                                                     
 16223577;MA8888    Ã»Õ»”Ã ¿–“  ŒÀÀ                                                                           
 14008126;MJ33330    MARC JACOBS - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿                                                              
 13934708;MP55500      MEPI                                                                                   
 16222219;MR32654      MARCEL ROBERT                                                                          
 10902974;N00001      NOVAYA ZARYA                                                                            
 10902975;N10001      NATURAL PRODUCTS ZAO                                                                    
 10902976;N11111      NICLAS AG                                                                               
 12310664;N11133      Õ¿¡Œ–€ œ¿–‘ﬁÃ≈–»» »  Œ—Ã≈“» »                                                           
 13053302;N12345      Õ¿—À≈ƒ»≈                                                                                
 10909574;N22222      NINA RICCI COUTURE DP RBN                                                               
 15967978;NAVI                                                                                                
 10902977;O00001      ARMAGON OOO                                                                             
 11138584;O10000      Œƒ»Õ÷Œ¬— ¿ﬂ  ŒÕƒ»“≈–— ¿ﬂ ‘¿¡–» ¿ OOO                                                    
 10902978;O11000      OST-ALCO                                                                                
 10902979;O11111      OCEAN+                                                                                  
 16223627;O55533    TDK (ORO GOLD)                                                                            
 16222989;"OE5555     «¿Œ""Œ–»≈Õ“¿À › —œ–≈——""                                                                   "
 15981118;OK00364    OB. CONDITERY OOO                                                                        
 12266153;OLD PARFUME                                                                                         
 15968014;OLD_PLU                                                                                             
 16223607;P&G____                                                                                             
 16223407;"P000005    ŒŒŒ""œ–Œ¬¿Õ—""                                                                             "
 16223685;P01997      LA PRAIRIE                                                                              
 16157273;P05321     PACO RABANNE PUIG                                                                        
 10902982;P10000       PEPSICO HOLDINGS OOO                                                                   
 16157277;P10000     PRADA PUIG                                                                               
 10902983;P10001       PIVNOY DOM                                                                             
 15981229;P10099     HELENA RUBENSTEIN PBI                                                                    
 11713782;P12333         PORTOLANO                                                                            
 10902984;P12345       POLICE TIME                                                                            
 10902985;P17001       ORCHID ZAO                                                                             
 15192911;P65000     YSL PBI                                                                                  
 15192910;P75000     LANCOME PBI                                                                              
 14877524;P78000     CACHAREL PBI                                                                             
 14877523;P80000     GIORGIO ARMANI PBI                                                                       
 14877525;P85000     VICTOR & ROLF PBI                                                                        
 16223541;P97531  PERRIS MONTE CARLO INTERLUX                                                                 
 15317860;PARFUME SALE                                                                                        
 16223663;PM12399  PARRIS MONTE CARLO (À¿ ÿ≈–»)                                                               
 16223623;PM44450   PERRIS MONTE CARLO INTERLUX 2                                                             
 12428766;PR200002   œ–Œ√–≈——-œÀﬁ— ŒŒŒ                                                                        
 15059512;PW55555    POLICE TIME WATCH                                                                        
 10902987;R00002       –”—¿√–Œ“Œ–√ ÃŒ— ¬¿                                                                     
 10902990;R10001       RARITET OOO                                                                            
 10902991;R10010       RAYSTAR OOO                                                                            
 16032127;R10060       BVLGARY                                                                                
 10902994;R11111       LEKERY OOO                                                                             
 10910007;R12345         RATTI  COLLECTION                                                                    
 15233566;R20012       RANCE À≈ ŒÕ“                                                                           
 11696609;R25255       –Œ“Œ– ’¿”—                                                                             
 16157275;R35840     NINA RICCI PUIG                                                                          
 11390230;R888888     –”—“ »Õ Œ–œŒ–›…“≈ƒ                                                                      
 10902996;S00001       SOI-2                                                                                  
 10902997;S00002       NIAGARA FUDS                                                                           
 10902998;S00003        SLIMSITY OOO                                                                          
 11164767;S00004       —œŒ–“À¿…Õ OOO                                                                          
 16223584;S01607     SHISEIDO                                                                                 
 10903000;S02000       SHARK-2000                                                                             
 10903001;S10000       SHANTERI OOO                                                                           
 16223229;S10000      SONYA RYKIEL                                                                            
 10903004;S10100       STOLWERCK FAIN CHOCOLATE                                                               
 10903005;S10444       SWAROVSKI DP JEW                                                                       
 13976024;S10445       SWAROWSKI DP FIGURINS                                                                  
 14012059;S10446       SWAROWSKI DP WATCH                                                                     
 16222994;"S10500   ŒŒŒ ""—¿ — »√–”ÿ »""                                                                         "
 10903006;S11111       SILHOUETTE INTERNATIONAL                                                               
 10903007;S120000     ALMEIRA OOO                                                                             
 14046274;S14444       SAMSONITE                                                                              
 10903008;S20001       MAGARACH 000                                                                           
 15963513;S45678       SWISS SMILE                                                                            
 15968003;S54321       SISLEY                                                                                 
 15116112;S60006    SELDICO FENDI                                                                             
 13473946;S65432       STORK TRAVEL RETAIL                                                                    
 16222987;S67891   SHAIKH ESTERK                                                                              
 13672185;S88888       SKAGEN                                                                                 
 16223030;S97531    »œ —¿ÃŒƒ”–Œ¬— »…                                                                          
 16147138;SC12345 SCORPIO TRAVEL RETAIL(TOYS)                                                                 
 15357423;SC15151     SCHLEICH                                                                                
 15205850;SCORPIO DISTR GROUP                                                                                 
 13978108;SELDICO GROUP                                                                                       
 16223621;SG55510   SILLAGE INTERLUX 2                                                                        
 10902999;SHUAR  OOO                                                                                          
 11418709;SP12345      ¬€¡Œ– OOO                                                                              
 16223343;"SP88820   ""—“ŒÀ»◊Õ€≈ œŒ—“¿¬ »"" ŒŒŒ                                                                  "
 16054718;SUPPLIERS 01 (LIQUORS / MINIATURES)                                                                 
 16054681;SUPPLIERS 05 (FASHION/ACCESSORIES)                                                                  
 16054705;SUPPLIERS 09 (SOUVENIRS / MUSIC)                                                                    
 16054683;SUPPLIERS 14 (TOYS / TRAVEL)                                                                        
 16150151;SUPPLIERS 17 (»–À¿Õƒ— »… ¡¿–)                                                                       
 16223504;SZ4444    —À¿¬¿ «¿…÷≈¬ À¿ ÿ≈–»                                                                      
 10903009;T00001        “”–ÕŒ  OOO                                                                            
 10903011;T00003        TRIANON-SERVICE                                                                       
 10903012;T00005        TOYDICO                                                                               
 10903013;T00010        Ã¿∆≈—“» -»Ãœ› — ŒŒŒ                                                                   
 10903016;T10039        TISSOT DP                                                                             
 15876813;T10045     TRAVEL RETAIL INNOVATIONS                                                                
 10913973;T11000        “–›Õƒ  ŒÀÀ› ÿÕ ŒŒŒ                                                                    
 15205852;T11115    TIME DESIGN                                                                               
 10903018;T33223        TEXIER DP EURO                                                                        
 14113498;T46789       TALIKA                                                                                 
 16064637;T55567       TIMELESS LUXERY PRODUCTS                                                               
 11305401;T7000025    “Œ–√—≈–¬»— ’’I ¬≈  OOO                                                                  
 15082379;T77715    “Ã’‘ √–”œœ                                                                                
 16222223;T98765    –≈ÃÀ≈¬— »… “ƒ                                                                             
 15949607;TM1111     TIME&MORE E.K.                                                                           
 11116675;U00002        ﬁÕ»“Œ…—-Ã  OOO                                                                        
 16223410;"U00388   ŒŒŒ ""‘»–Ã¿ ”Õ»“–ŒÕ""                                                                        "
 10903020;U10000        URVEST OOO                                                                            
 11027029;U20000        ﬁ¬≈À»–“Œ–√  OOO                                                                       
 12067708;U99999        U-TOYS                                                                                
 15924874;"UM12338   OOO""UNITOYS MSK""                                                                          "
 12609408;V0000004    ¬»Õ› —»Ã ŒŒŒ                                                                            
 10903021;V00001        VAGR OOO                                                                              
 16064640;V00137     OKKI ¬» “Œ–»ﬂ                                                                            
 10903024;V01000        VK OOO                                                                                
 16064644;V20032      VERSACE                                                                                 
 16223643;"V50170     ŒŒŒ""¬¿À≈Õ—»ﬂ › —œ–≈——""                                                                   "
 16222233;V75432     VALENTINO PUIG                                                                           
 16143158;VE2333   VERSUS                                                                                     
 11688590;VH10001      ¬’ »ÃœŒ–“  ¿Ãœ¿Õ»                                                                      
 10903026;W00111      WHITE HALL                                                                              
 14029982;W54321        ¬≈À ŒÃ                                                                                
 14136269;WWF1234     WWF                                                                                     
 16223579;Y10010    CALVIN KLEIN                                                                              
 11728831;Y12300      YSL BEAUTY                                                                              
 11446617;Y12345       ﬂÕ“¿–Õ¿ﬂ √–Œ«ƒ‹ ŒŒŒ                                                                    
 11421651;Z0000234     —Õ— «≈À≈ÕŒ√–¿ƒ                                                                         
 10971588;¿›–ŒÃ¿–                                                                                             
 16164141;¡»¡» ŒÃ                                                                                             
 16222764;¬» “Œ–»ﬂ                                                                                            
 14008008;≈ƒ»Õ¿ﬂ ≈¬–Œœ¿ ’ŒÀƒ»Õ√                                                                               
 15598539;"«¿Œ ""¿›–Œ‘≈–—“""                                                                                     "
 16222277;À≈ ŒÕ“                                                                                              
 14125565;"Ã16789         ŒŒŒ ""Ãﬂ√ »… Ã»–""                                                                     "
 16223551;Œ¡—»ƒ»¿Õ“                                                                                           
 16223661;ŒŒŒ À¿ ÿ≈–» ¬Œ–Àƒ                                                                                   
 15233557;–»ÿ›—                                                                                               
 16223236;"—00395     ŒŒŒ ""—-“–≈…ƒ                                                                             "
 15922984;"—12345  ŒŒŒ ""‘»–Ã¿ —“¿Õ¡≈¬""                                                                         "
 16222628;—œ≈÷. ŒÕ—»√Õ¿÷»ﬂ                                                                                    
 15660793;—“¿–€≈ œŒ—“¿¬Ÿ» »                                                                                   
 15946226;“¡Õ “¿…Ã - ƒ»—“–»¡”÷»ﬂ                                                                              
 15115887;“Ã’‘                                                                                                
 9662694;”ƒ¿À≈ÕÕ€… Œ‘»—                                                                                      
