Vendor No_;Name
O_SUP237;LADOGA  JSL
O_SUP239;TAG WATCHES
O_SUP306;SWAROVSKI JEWELLERY
O_SUP316;SILHOUETTE INT
O_SUP332;KIPLING EUROPE DIVISION
O_SUP334;DESIGN GO
O_SUP423;LA SETA MANTERO
O_SUP424;LANCEL SKY
O_SUP438;FERRERO TRADING LUX
O_SUP439;GODIVA S.A. BELGIUM
O_SUP447;MARS HOLLAND
O_SUP468;WEITNAUER DISTRIBUTION LTD
O_SUP470;WBDF_JAMESON
O_SUP484;ALLIED BRANDS
O_SUP485;BROWN FORMAN BEVERAG
O_SUP488;BORIE-MANOUX WINES
O_SUP489;BOLS SP.Z.O.O
O_SUP492;BISQUIT COGNAC
O_SUP496;CAMUS INTERNATIONAL
O_SUP500;MEUKOW FELINE COGNAC
O_SUP506;FOSTERS
O_SUP510;HERMANN JOERSS
O_SUP514;Kaganski and CO.GMBH
O_SUP522;MARNE & CHAMPAGNE DIFFUSION
O_SUP525;MD GURMEX LTD
O_SUP527;NEFT VODKA DISTRIBUTION LLC
O_SUP531;DIAGEO (UDV+BAILEYS)
O_SUP556;MD GOURMEX LTD
O_SUP635;PERNOD RICARD EUROPE
O_SUP664;AIR Affinity Limited
O_SUP665;Hibway Ltd. t/a Saffon Supply Services
O_SUP666;Swarovski International Distribution AG
O_SUP667;ARCOROS Inc.
O_SUP668;Ashford Handels GmbH
O_SUP669;Best Wine Corporation
O_SUP670;Richemont International SA
O_SUP671;Autograph Travel Limited
O_SUP672;WHITEFIELD INVEST LTD
