Vendor_Code;Vendor_Name;Addr;Addr2;City;Contact;Phone;Currency_Code;Blocked;Prices_Including_VAT;Fax;INN;EMail;OKPO_Code;Full_Name;KPP_Code;Alcohol_Vendor_Type
I_SUP083;ООО "Аэро-бридж";ул. Летняя, д. 10/1;;Москва;;8-985-766-82-56;RUB;0;1;;5009051802;;93650728;Общество с ограниченной ответственностью "Аэро-бридж";772301001;0
I_SUP084;ОАО "КЗ ОТРАДНОЕ";ул. Римского-Корсакова д.15;;Москва;;402-01-24;RUB;0;0;;7715038380;;18136361;Открытое акционерное общество "КЗ ОТРАДНОЕ";771501001;0
I_SUP085;ООО "МоБиЛенд-Маркет";Москва, ул.Хорошевское ш, д.46;Москва, ул.Хорошевское ш, д.46;;;(495) 678-03-21;RUB;0;0;;7714238097;;;;771401001;0
I_SUP086;ООО "ГЕРАЛЬТ";Москва, Рабочая ул., д.20А;Москва, Рабочая ул., д.20А;;;232-31-04;RUB;0;0;;7710531859;;;;770901001;0
I_SUP087;ООО "Ди Джи Трейдинг";Москва, ул. Вавилова, 69/75;;;Сямиуллин Р.А.;7(495) 544-70-41;RUB;0;1;;7736602173;;;;773601001;0
I_SUP088;ООО "КВАТТРО";ул. Промышленная, 11А;;Москва;Зиянгиров И.Т.;;RUB;0;1;;7724578494;;;Общество с ограниченной ответственностью "КВАТТРО";772404001;0
I_SUP089;ООО «Марр Руссия»;ул. Восточная, д.5;;Москва;;785-39-40;RUB;0;0;;7729409940;;20530125;Общество с ограниченной ответственностью "МАРР РУССИЯ";503201001;0
I_SUP090;ООО "ТД Поляна";;;;;;RUB;0;0;;7838377390;;;;;0
I_SUP091;ЗАО "РОСАЛКО-НЕВА";Санкт-Петербург,;Московское шоссе д. 13;;;;RUB;0;0;;7810694381;;;;784601001;0
I_SUP092;ЗАО "КАМЧАДАЛ";Алтуфьевское ш., д. 37, стр. 12;;Москва;;(495) 744-03-90;RUB;0;1;;7726217373;;44993545;Закрытое акционерное общество "КАМЧАДАЛ";;0
I_SUP093;ООО «САНТОЧА»;г. Москва ул. Солдатская д. 6,;стр. 1;;;;RUB;0;1;;7709695122;;;;772201001;0
I_SUP094;ООО «АДИДАС»;Москва, Проектирумый пр-д,5231;Москва, Проектирумый пр-д,5231;;;;RUB;0;1;;7714037390;;;;;0
I_SUP095;ООО "Бизнес Логистика";Москва, 1-й колобовский пер.17;;Москва;;8-985-135-42-31;RUB;0;0;;7707728622/770701001;;;;;0
I_SUP096;ЗАО "Ереванский коньячный завод";Республика Армения, пр. Адмирала Исакова 2;;Ереван;;+37410510100;;0;1;;;;;;018023880;2
I_SUP097;ООО "Аэро-бридж ЮНИОН";ул. Краснодонская, д.24, строение 2;;Москва;;8-985-766-82-56;RUB;0;1;;7723786357;;69753428;Общество с ограниченной ответственностью "Аэро-бридж ЮНИОН";772301001;0
I_SUP098;ИП Баранов С.В.;ул. Оршанская, дом № 18, кв. 20;;Москва;;;RUB;0;0;;673007789246;;;Индивидуальный предприниматель Баранов Сергей Валерьевич;;0
I_SUP099;ООО "КАСКАД ЛОГИСТИК";ул.Салтыковская, д.26, стр.2, 1 этаж, пом. 1, к.1а;;Москва;;(495)701-59-18;RUB;0;1;;7720695292;;68040459;Общество с Ограниченной Ответственностью "КАСКАД ЛОГИСТИК";;0
I_SUP100;ИП Турбина О.В.;Московская область, ул. Проспект Победы, д.41;;Ступино;;;RUB;0;0;;507600596092;;0118582798;Индивидуальный прдприниматель Турбина О.В.;;0
I_SUP101;ЗАО "БРПИ";Огородный проезд, д.16;;Москва;;967-37-01;RUB;0;0;;7715057618;;03203689;Закрытое акционерное общество "БРПИ";771501001;0
I_SUP102;ООО "Спорттовары Боско";2-й Спасоналивковский пер., д.6;;Москва;;+7 (495) 788-43-64;RUB;0;1;;7706301877;Kraylyuk@bosco.ru;14627300;Общество с ограниченной ответственностью;770601001;0
I_SUP103;ОАО "Ударница";ул. Шаболовка, д. 13;;Москва;;(495) 781-2222;RUB;0;1;;7706042326;;00340670;Открытое акционерное общество "Ударница";774850001;0
I_SUP104;ООО "Апрель";ул. Краснопролетарская д. 16 стр. 3;;Москва;;(495) 645-0029;RUB;0;1;;7707719970;info@yarra.ru;65220698;Общество с ограниченной ответственностью "Апрель";770701001;0
I_SUP105;ООО "САКС Игрушки";Московская область ул. Вишневая д. 11а;;Подольск;;(495)961-00-12;RUB;0;1;338-23-03;7728632760;office@saks.ru;83074906;Общество с ограниченной ответственностью ООО "САКС Игрушки";503601001;0
I_SUP106;ООО "Перидео Рус";Алтуфьевское шоссе д. 44;;Москва;;(495)708-40-50;RUB;0;1;;7715766188;;62180722;Общество с ограниченной ответственностью "Перидео Рус";;0
I_SUP107;ООО "ЭДМИНС";ул. Дибуновская, дом № 45, корпус 1;;Санкт-Петербург;;+7(812)430-97-42;RUB;0;1;+7(812)430-97-42;7804026227;edmins@edmins.spb.ru;11145954;Общество с ограниченной ответственностью "ЭДМИНС";781401001;0
I_SUP108;ООО "Мода Премиум";ул. Скотопрогонная д. 27/26 стр. 1;;Москва;;(495) 545-05-01;RUB;0;1;;7722720000;;66866801;Общество с ограниченной ответственностью "Мода Премиум";772201001;0
I_SUP109;ООО "Ла Пелле фешн";ул. Орджоникидзе д. 12;;Москва;;(495)958-57-33;RUB;0;1;;7725590920;;98922412;Общество с ограниченной ответственностью "Ла Пелле фешн";772501001;0
I_SUP110;ЗАО "Белое Золото";ул. Дорогобужская д.14;;Москва;;;RUB;0;1;;7730572846;;62843051;Закрытое акционерное общество "Белое Золото";773101001;0
I_SUP111;ООО "ТАЙМТЭК";ул. Новозаводская д.8 корп. 4;;Москва;;(495)234-34-93;RUB;0;1;;7730624734;;66382210;Общество с ограниченной ответственностью "Таймтэк";773001001;0
I_SUP112;ООО "Интелтрейд TK";ул.Садовая-Триумфальная д.4-10;;Москва;;(495)730-49-65;RUB;0;0;;7710892100;;92554634;Общество с ограниченной ответственностью "Интелтрейд ТК";771001001;0
I_SUP113;ООО "КБ Сервис";ул. Магистральная 2-ая, д. 8А, стр. 2;;Москва;;;RUB;0;0;;7714813950;;66995786;Общество с ограниченной ответственностью "КБ Сервис";;0
I_SUP114;ООО "Эксалити";Огородный проезд,д.5, стр.6, офис 407;;Москва;;(495) 229-49-83;RUB;0;1;;7715725992;;89498547;Общество с ограниченной ответственностью "Эксалити";771501001;0
I_SUP115;ООО "Компания Аллигатор";ул. Отрадная, дом 25Б, стр. 6;;Москва;;7 (495) 925-75-53;RUB;0;0;;7715881913;;30214218;Общество с ограниченной ответственностью "Компания Аллигатор";771501001;0
I_SUP116;ООО "Эсперанс";ул. Малая Калужская, д. 15, стр. 6;;Москва;;(495)542-34-48;RUB;0;1;;7725674730;;62733084;Общество с ограниченной ответственностью "Эксперанс";772501001;0
I_SUP117;ООО "Обсидиант";ул Каховка, д 10, корп 3;;Москва;;;RUB;0;1;;7727824050;;26672441;Общество с ограниченной ответственностью "Обсидиант";772701001;0
I_SUP118;ООО "БиБиКом";ул. Зорге д.9А, стр 2;;Москва;;;RUB;0;1;;7714738798;;86402951;Общество с ограниченной ответственностью "БиБиКом";771401001;0
I_SUP119;ООО "ЛФБ";ул. Вавилова, д. 5, кор. 3;;Москав;;8(495) 430-82-77;RUB;0;0;;7704743051;;64524060;Общество с ограниченной ответственностью "ЛФБ";772501001;0
I_SUP120;ООО "Парфюм Престиж";ул. Мантулинская, д.7, стр.2;;Москва;;(499) 256-11-72;RUB;0;1;;7703727360;;68001643;Общество с ограниченной ответственностью ООО "Парфюм престиж";770301001;0
I_SUP121;ООО "Юниджел";ул. 1-й Варшавский проезд., д.1А, строение 9;;Москва;;(495)645-00-49;RUB;0;0;;7724766427;;68953148;Общество с ограниченной ответственностью "Юниджел";772401001;0
I_SUP122;ЗАО "Сейлс";ул. Б. Почтовая, д. 36 стр. 10;;Москва;;(495) 660-33-98;RUB;0;1;(499) 256-90-05;7707175262;;46512840;Закрытое акционерное общество "Сейлс";770101001;0
I_SUP123;ОАО "ЕДИНАЯ ЕВРОПА - ХОЛДИНГ";ул. Машкова, д.1;;Москва;;(495) 771-60-01;RUB;0;1;;7701010842;;29212616;Открытое акционерное общество "ЕДИНАЯ ЕВРОПА - ХОЛДИНГ";770101001;0
I_SUP124;ООО "Колизей";ул. Салова, 33, литер А, пом 4-Н;;Санкт-Петербург;;(812) 329-36-17;RUB;0;1;;7816502431;;69205738;Общество с ограниченной ответственностью "Колизей";781601001;0
I_SUP125;ООО "ЕВРОКАРТА";ул. Большая Монетная, д.16, корп. 5;;Санкт-Петербург;;+7(812)385-44-01;RUB;0;1;+7(812)385-44-01;7813319420;;76228007;Общество с ограниченной отвестственностью "ЕВРОКАРТА";781301001;0
I_SUP126;ЗАО "МТК АЛИСА";Варшавское шоссе, д. 26 офис 408;;Москва;;(495) 258-88-70;RUB;0;1;;7726630252;;61704270;Закрытое акционерное общество "МТК АЛИСА";772601001;0
I_SUP127;ООО "Балтиком";ул. Жуковского, д. 32 лит. А, пом. 26Н;;Санкт-Петербург;;(812)600-30-16;RUB;0;1;;7842397656;;89021710;Общество с ограниченной ответственностью "Балтиком";784201001;0
I_SUP128;ООО "Джуси Компани";ул.Ярцевская, д.34, стр.1, офис 8;;Москва;;;RUB;0;0;;7731652170;;66879873;Общество с ограниченной ответственностью "Джуси Компани";773101001;0
I_SUP129;ООО "Бона";Духовской пер., д.17;;Москва;;8(495) 940-75-50;RUB;0;1;;7726622413;;60384165;Общество с ограниченной ответственностью "Бона";772601001;0
I_SUP130;ООО "Кухня № 1";ул. Сумская, д. 6, корп.1;;Москва;;8-499-392-34-77;RUB;0;0;;7726672044;;90627168;Общество с ограниченной ответственностью "Кухня №1";772601001;0
I_SUP131;ООО "Кволити";шоссе Энтузиастов, д.31 стр.2;;Москва;;8(495) 708-44-78;RUB;0;0;8(495) 708-46-49;7720652860;;60397038;Общество с ограниченной ответственностью "Кволити";772001001;0
I_SUP132;ООО ТД "Проект 21";Краснопресненская наб. 12 офис 9211;;Москва;;258-15-97, 258-15-97;RUB;0;1;258-15-98;7703652404;;84152703;Общество с ограниченной ответственностью ТД "Проект 21";770301001;0
I_SUP133;ООО "СнабСервис";Московская область, ул. Кооперативная д. 3;;Жуковский;;221-60-65;RUB;0;0;;5013050135;;75240176;Общество с ограниченной ответственностью "СнабСервис";501301001;0
I_SUP134;ИП Бацуева;ул. Островитянова 27-1-88;;Москва;;;RUB;0;1;;772809015953;;;Индивидуальный предприниматель Бацуева;;0
I_SUP135;ООО "ВЕДК";М.О. Чеховский муниц. р-он, с.п.Баранцевское,стр.5;Пром.зона Новоселки, вл.11;;;8 (495) 933-02-11;RUB;0;1;8 (495) 933-02-12;7710754069;info@eedc.ru;62709134;Общество с ограниченной ответственностью "Восточно-Европейская Дистрибьюторская компания";504845004;0
I_SUP136;ООО "Невский Берег";Тарный проезд, д. 11;;Москва;;;RUB;0;1;;7724538212;;76446626;Общество с ограниченной ответственностью "Невский Берег";772401001;0
I_SUP137;ООО "Виктория";ул. Борисовская, д.18;;Москва;;743-08-25;RUB;0;1;;7719726958;;62171775;Общество с ограниченной ответственностью "Виктория";771901001;0
I_SUP138;ООО "Ришэс";ул. Малая Калужская, д. 15, стр. 16;;Москва;;(495) 686-94-05;RUB;0;1;;7725742193;;37304663;Общество с ограниченной ответственностью "Ришэс";772501001;0
I_SUP139;ООО "Фирма Станбев";ул.Фадеева, д.7, стр.1, оф.2;;Москва;;8(495)7305471;RUB;0;0;8(495)7305471;7710894884;;30166235;Общество с ограниченной ответственностью "Фирма Станбев";771001001;0
I_SUP140;ООО "ПРЕМЬЕР БЬЮТИ лайн";Кривоколенный переулок, дом 12, стр.1, офис 500;;Москва;;(495) 628-40-39;RUB;0;1;;7701874730;;66381475;Общество с ограниченной ответственностью "ПРЕМЬЕР БЬЮТИ лайн";770101001;0
I_SUP141;ООО "Экспресс Медиа Маркет";ул. Введенского, вл. 8, стр. 2;;Москва;;744-09-60;RUB;0;1;744-09-60;7728710873;;;Общество с ограниченной ответственностью "Экспресс Медиа Маркет";772801001;0
I_SUP142;ООО "Ювелир";ул. Краснопролетарская, д.16, стр.2;;Москва;;(495) 645 00 29;RUB;0;1;;7707768551;;38304056;Общество с Ограниченной Ответственностью "Ювелир";770701001;0
I_SUP143;ООО "НиК-К";ул. Панфиловцев, 75;;Новосибирск;;256-14-80, 256-14-86;RUB;0;1;;5406147557;;47517791;Общество с ограниченной ответственностью ООО "НиК-К";540501001;0
I_SUP144;ООО "Дилан+";Московская область, ул. Урицкого, дом 2Б;;Люберцы;;(495)745-6135, (495)558-5783;RUB;0;1;;5027081655;;;Общество с ограниченной ответственностью ООО "Дилан+";502701001;0
I_SUP145;ООО "Маруся Бевереджис РУС";Звонарский пер., д. 7, стр. 1;;Москва;;(495) 642-87-99;RUB;0;1;;7705667950;;77378298;Общество с ограниченной ответственностью ООО "Маруся Бевереджис РУС";770201001;0
I_SUP146;OOO "ТК ГРАТ-ВЕСТ";Проектируемый проезд,5217,д.2;;Москва;;(495)956-62-94;RUB;0;1;;7730113680;;18740235;Общество с ограниченной ответственностью ООО "ТК ГРАТ-ВЕСТ";773001001;0
I_SUP147;ООО "ОПТИМАТОРГ";1-я Тверская-Ямская,д.28,стр.1,помещ.36;;Москва;;(495)792-95-46;RUB;0;1;;7714755105;;88380625;Общество с ограниченной ответственностью "ОПТИМАТОРГ";771001001;0
I_SUP148;ООО "КэндиЛайн";ул. 2-я Хуторская, д. 38А, стр. 1,этаж 3;;Москва;;(495)665-17-28;RUB;0;1;;7701929668;;30185876;Общестов с ограниченной ответственностью "КэндиЛайн";771301001;0
I_SUP149;ООО "ЭНС";Старопетровский проезд, д. 7А;;Москва;;;RUB;0;1;;7743771430;;65224472;Общество с ограниченной ответственностью "ЭНС";774301001;0
I_SUP150;ООО "СТАРТ";Лужнецкая наб., д. 2/4, стр. 23 Б;;Москва;;;RUB;0;1;;7704723400;;;Общество с ограниченной ответственностью "СТАРТ";770401001;0
I_SUP151;ООО "Херпа СНГ";1-ый Институтский проезд, дом 1;;Москва;;8(926)2053749;RUB;0;1;;7721542394;;79361557;Общество с ограниченной ответственностью Херпа СНГ";772101001;0
