Certificate No_;Factory Code;Factory_Description;Primary Factory;Certificate Type
пняя DE.де01.б31362;REF-0017;REEMTSMA CIGARETTENFABRIKEN GMBH;1;CQ
пняя DE.де01.б31687;REF-0005;British American Tobacco Int Ltd;1;CQ
пняя DE.де01.б32013;REF-0125;'GEORG HEMMETER GMBH';0;CQ
пняя DE.де01.б32531;REF-0024;REEMTSMA CIGARETTENFABRIKEN GMBH, FACTORY LANGENHAGEN;1;CQ
пняя DE.де01.б32589;REF-0014;JT INTERNATIONAL GERMANY GMBH;1;CQ
пняя DE.де01.б33320;REF-0024;REEMTSMA CIGARETTENFABRIKEN GMBH, FACTORY LANGENHAGEN;1;CQ
пняя DE.де01.б33753;REF-0025;PHILIP MORRIS GMBH;1;CQ
пняя DE.де01.б34287;REF-0179;'UNDERBERG KG';0;CQ
пняя DE.де01.б35389;REF-0025;PHILIP MORRIS GMBH;0;CQ
пняя DK.де01.б33997;REF-0116;'DANISH DISTILLERS';0;CQ
пняя DK.де01.б33998;REF-0116;'DANISH DISTILLERS';0;CQ
пняя DK.де01.б36257;REF-0209;'LEGO SYSTEM A/S';1;CQ
пняя DK.де01.б36257;REF-0210;'LEGO SYSTEM S.R.O';0;CQ
пняя DK.де01.б36257;REF-0211;'GSC NYIREGYHAZA LEGO MKFT';0;CQ
пняя DK.де01.б36257;REF-0212;'SONOCO POLAND';0;CQ
пняя DK.де01.б36257;REF-0213;'GREINER PACKAGING GMBH';0;CQ
пняя DK.де01.б36257;REF-0214;'LEGO SCHWEIZ AG';0;CQ
пняя DK.де01.б36258;REF-0209;'LEGO SYSTEM A/S';1;CQ
пняя DK.де01.б36258;REF-0210;'LEGO SYSTEM S.R.O';0;CQ
пняя DK.де01.б36258;REF-0211;'GSC NYIREGYHAZA LEGO MKFT';0;CQ
пняя DK.де01.б36258;REF-0212;'SONOCO POLAND';0;CQ
пняя DK.де01.б36258;REF-0213;'GREINER PACKAGING GMBH';0;CQ
пняя DK.де01.б36258;REF-0214;'LEGO SCHWEIZ AG';0;CQ
пняя ES.де01.б33487;REF-0143;'JOHN HARVEY & SONS';0;CQ
пняя FI.де01.б36830;REF-0180;PERNOD RICARD FINLAND OY (ашбь. V&S FINLAND OY);1;CQ
пняя FI.оп71.б02163;REF-0002;тХПЛЮ 'Altia Corporation' (юКРХЮ йНПОНПЕИЬМ);1;CQ
пняя FI.ям01.б03547;REF-0189;ALTIA PLC/PART OF ALTIA CORPORATION;1;CQ
пняя FR.юб09.б39109;REF-0100;'CAMUS LA GRANDE MARQUE S.A.';0;CQ
пняя FR.юх18.д02623;REF-0226;L'OREAL PRODUCTS DE LUXE INTERNATIONAL;1;CQ
пняя FR.юх18.д02623;REF-0227;FAPAGAU;0;CQ
пняя FR.юх18.д02623;REF-0228;SICOS;0;CQ
пняя FR.юх18.д02623;REF-0229;B.R.I. (BEAUTE, RECHERCHE&INDUSTRIE);0;CQ
пняя FR.юх18.д02623;REF-0230;SOPROCOS;0;CQ
пняя FR.юъ85.д00506;REF-0075;'CHANEL S.A.A.';1;CQ
пняя FR.юъ85.д00507;REF-0075;'CHANEL S.A.A.';1;CQ
пняя FR.де01.б33497;REF-0104;'CHAMPAGNE LAURENT-PERRIER';0;CQ
пняя FR.де01.б33949;REF-0068;т.'SEITA'(AN ALTADIS GROUP);1;CQ
пняя FR.де01.б33999;REF-0099;'BORIE MANOUX';0;CQ
пняя FR.де01.б34005;REF-0099;'BORIE MANOUX';0;CQ
пняя FR.де01.б34509;REF-0096;'BACARDI-MARTINI B.V.';1;CQ
пняя FR.де01.б35538;REF-0106;'CHATEAU DE COGNAC S.A.S';0;CQ
пняя FR.ой08.д01248;REF-0077;'INTERCOS';0;CQ
пняя FR.ой08.д01248;REF-0192;'CLARINS S.A.';1;CQ
пняя FR.ой08.д01248;REF-0195;'LABORATOIRES CLARINS';0;CQ
пняя FR.ой08.д01248;REF-0196;'ASM';0;CQ
пняя FR.ой08.д01248;REF-0197;'TECNOCOSMESI S.A.';0;CQ
пняя FR.ой08.д01250;REF-0077;'INTERCOS';0;CQ
пняя FR.ой08.д01250;REF-0192;'CLARINS S.A.';1;CQ
пняя FR.ой08.д01251;REF-0077;'INTERCOS';0;CQ
пняя FR.ой08.д01251;REF-0192;'CLARINS S.A.';1;CQ
пняя FR.ой08.д01251;REF-0195;'LABORATOIRES CLARINS';0;CQ
пняя FR.ой08.д01251;REF-0196;'ASM';0;CQ
пняя FR.ой08.д01251;REF-0197;'TECNOCOSMESI S.A.';0;CQ
пняя FR.ой08.д01253;REF-0077;'INTERCOS';0;CQ
пняя FR.ой08.д01253;REF-0192;'CLARINS S.A.';1;CQ
пняя FR.ой08.д01253;REF-0195;'LABORATOIRES CLARINS';0;CQ
пняя FR.ой08.д01253;REF-0196;'ASM';0;CQ
пняя FR.ой08.д01253;REF-0197;'TECNOCOSMESI S.A.';0;CQ
пняя FR.ой08.д01254;REF-0077;'INTERCOS';0;CQ
пняя FR.ой08.д01254;REF-0192;'CLARINS S.A.';1;CQ
пняя FR.ой08.д01254;REF-0195;'LABORATOIRES CLARINS';0;CQ
пняя FR.ой08.д01254;REF-0196;'ASM';0;CQ
пняя FR.ой08.д01254;REF-0197;'TECNOCOSMESI S.A.';0;CQ
пняя FR.ой08.д01257;REF-0077;'INTERCOS';0;CQ
пняя FR.ой08.д01257;REF-0192;'CLARINS S.A.';1;CQ
пняя FR.ой08.д01257;REF-0195;'LABORATOIRES CLARINS';0;CQ
пняя FR.ой08.д01257;REF-0196;'ASM';0;CQ
пняя FR.ой08.д01257;REF-0197;'TECNOCOSMESI S.A.';0;CQ
пняя FR.ой08.д01299;REF-0077;'INTERCOS';0;CQ
пняя FR.ой08.д01299;REF-0192;'CLARINS S.A.';1;CQ
пняя FR.ой08.д01299;REF-0196;'ASM';0;CQ
пняя FR.ой08.д01300;REF-0077;'INTERCOS';0;CQ
пняя FR.ой08.д01300;REF-0192;'CLARINS S.A.';1;CQ
пняя FR.ой08.д01300;REF-0195;'LABORATOIRES CLARINS';0;CQ
пняя FR.ой08.д01300;REF-0196;'ASM';0;CQ
пняя FR.ой08.д01300;REF-0197;'TECNOCOSMESI S.A.';0;CQ
пняя FR.оп71.б00416;REF-0121;'DISTILLERIA DE MATHA';0;CQ
пняя FR.оп71.б19563;REF-0100;'CAMUS LA GRANDE MARQUE S.A.';0;CQ
пняя FR.оп71.б84183;REF-0158;'MEUKOW S.A.';0;CQ
пняя FR.оп71.б87034;REF-0108;'CLS REMY COINTREAU';0;CQ
пняя FR.оп71.б87035;REF-0109;'CLS REMY COINTREAU';0;CQ
пняя FR.оп71.б87037;REF-0105;'P&C HEIDSIECK';1;CQ
пняя FR.ям01.б06324;REF-0123;'ETS DEBRISE DULAC & CIE';0;CQ
пняя FR.ям01.д02776;REF-0226;L'OREAL PRODUCTS DE LUXE INTERNATIONAL;1;CQ
пняя FR.ям01.д03080;REF-0226;L'OREAL PRODUCTS DE LUXE INTERNATIONAL;1;CQ
пняя FR.ям01.д03081;REF-0226;L'OREAL PRODUCTS DE LUXE INTERNATIONAL;1;CQ
пняя FR.ям01.д03083;REF-0226;L'OREAL PRODUCTS DE LUXE INTERNATIONAL;1;CQ
пняя GB.юб57.б01318;REF-0059;т. 'RUSS BERRIE' (UK) LIMITED';1;CQ
пняя GB.юб57.б01318;REF-0060;т. 'TRI RUSS INTERNATIONAL (HK)LTD';0;CQ
пняя GB.юб57.б01318;REF-0061;т. 'SHANGHAI JUSTEN GIFTS & TOY CO., LTD';0;CQ
пняя GB.юб57.б01318;REF-0062;т. 'GAOMI ZHAOER TOYS CO., LTD';0;CQ
пняя GB.юб57.б08411;REF-0059;т. 'RUSS BERRIE' (UK) LIMITED';1;CQ
пняя GB.юч85.б29598;REF-0112;'CORCK DISTILLERIES CO.';0;CQ
пняя GB.юч85.б32643;REF-0152;'MACALLAN DISTILLERS LTD.';0;CQ
пняя GB.де01.б31025;REF-0015;IMPERIAL TOBACCO LIMITED;1;CQ
пняя GB.де01.б32274;REF-0134;'IAN MACLEOD DISTILLERS';1;CQ
пняя GB.де01.б32492;REF-0150;'LANG BROTHERS LTD';0;CQ
пняя GB.де01.б33483;REF-0150;'LANG BROTHERS LTD';0;CQ
пняя GB.де01.б34187;REF-0184;'WILLIAM TEACHER & SONS LTD';0;CQ
пняя GB.де01.б34463;REF-0019;GALLAHER LIMITED;1;CQ
пняя GB.де01.б34508;REF-0141;'JOHN DEWAR & SONS LTD';0;CQ
пняя GB.де01.б35359;REF-0173;'THE BOMBAY SPIRITS COMPANY';0;CQ
пняя GB.де01.б35726;REF-0151;'LAPHROAING DISTILLERY';0;CQ
пняя GB.де01.б35770;REF-0133;'HIGHLAND PARK DISTILLERY LTD.';0;CQ
пняя GB.де01.б87057;REF-0094;'THE BALVENIE DISTILLERY COMPANY LIMITED';1;CQ
пняя GB.оп71.б23069;REF-0183;'WILLIAM GRANT & SONS DISTILLERS LTD';1;CQ
пняя GB.оп71.б23165;REF-0094;'BALVENIE DISTILLERY COMPANY';0;CQ
пняя GB.оп71.б83378;REF-0152;'MACALLAN DISTILLERS ';1;CQ
пняя GB.оп71.б85004;REF-0089;'CHIVAS BROTHERS LIMITED';1;CQ
пняя GB.оп71.б85018;REF-0146;'JOHN WALKER AND SONS';0;CQ
пняя GB.оп71.б85080;REF-0127;'GLEN ELGIN DISTILLERY';0;CQ
пняя GB.оп71.б85847;REF-0148;'JUSTERINI & BROOKS';0;CQ
пняя GB.оп71.б87010;REF-0199;'MORRISON BOWMORE DISTILLERS LTD';1;CQ
пняя GB.оп71.б87021;REF-0095;'BLAVOD DRINKS LIMITED';1;CQ
пняя GB.оп71.б87030;REF-0152;'MACALLAN DISTILLERS ';1;CQ
пняя GB.оп71.б87039;REF-0175;'THE GLENFIDDICH DISTILLERY';0;CQ
пняя GB.оп71.б87039;REF-0183;'WILLIAM GRANT & SONS DISTILLERS LTD';1;CQ
пняя GB.оп71.б87042;REF-0183;'WILLIAM GRANT & SONS DISTILLERS LTD';1;CQ
пняя GB.оп71.б87043;REF-0183;'WILLIAM GRANT & SONS DISTILLERS LTD';1;CQ
пняя GB.оп71.б87054;REF-0157;'MATTHEW GLOAG AND SON LTD.';1;CQ
пняя GB.оп71.б87055;REF-0133;'HIGHLAND PARK DISTILLERY LTD.';1;CQ
пняя GB.ям01.б00642;REF-0182;'WHYTE & MACKAY DISTILLERS';0;CQ
пняя GB.ям01.б00693;REF-0153;'MACDONALD & MUIR LTD';0;CQ
пняя GB.ям01.б00694;REF-0153;'MACDONALD & MUIR LTD';0;CQ
пняя GB.ям01.б04067;REF-0153;'MACDONALD & MUIR LTD';0;CQ
пняя GB.ям01.б04079;REF-0182;'WHYTE & MACKAY DISTILLERS';1;CQ
пняя GB.ям01.б04080;REF-0136;'ISLE OF JURA DISTILLERY';0;CQ
пняя HU.де01.б35607;REF-0021;BAT PECSI DOHANYGYAR KFT,;1;CQ
пняя IE.юч85.б29599;REF-0145;'JOHN POWER&SONS';0;CQ
пняя IE.де01.б35510;REF-0111;'COOLEY DISTILLERY PLC';0;CQ
пняя IE.де01.д00098;REF-0074;'TULLAMORE DEW COMPANY LTD';1;CQ
пняя IT.де01.б32964;REF-0117;'DAVIDE CAMPARI-MILLANO S.P.A.';0;CQ
пняя IT.де01.б32965;REF-0117;'DAVIDE CAMPARI-MILLANO S.P.A.';1;CQ
пняя IT.де01.б34514;REF-0155;'MARTINI & ROSSI S.P.A.';0;CQ
пняя IT.де01.б34881;REF-0155;'MARTINI & ROSSI S.P.A.';0;CQ
пняя IT.де01.б35771;REF-0156;'MARTINI&ROSSI S.P.A.';0;CQ
пняя IT.ом94.д00286;REF-0164;'ROSSI D'ASIAGO' DISTILLATORI;0;CQ
пняя IT.ям01.б06799;REF-0120;'DISTILLERIA BOTTEGA SRL';1;CQ
пняя IT.ям01.б06800;REF-0120;'DISTILLERIA BOTTEGA SRL';1;CQ
пняя IT.ям01.б06802;REF-0120;'DISTILLERIA BOTTEGA SRL';1;CQ
пняя JP.де01.б03609;REF-0026;JAPAN TOBACCO INC;1;CQ
пняя LT.де01.б29049;REF-0013;UAB PHILIP MORRIS;1;CQ
пняя LT.де01.б32386;REF-0013;UAB PHILIP MORRIS;1;CQ
пняя MX.де01.б33488;REF-0171;'TEQUILA SAUZA S.A.DE.C.V.';0;CQ
пняя NL.юб73.б02975;REF-0255;MATTEL EUROPE B.V.;1;CQ
пняя NL.юб73.б02976;REF-0255;MATTEL EUROPE B.V.;1;CQ
пняя NL.юб73.б02977;REF-0255;MATTEL EUROPE B.V.;1;CQ
пняя NL.юб73.б02979;REF-0255;MATTEL EUROPE B.V.;1;CQ
пняя NL.юб73.б02980;REF-0255;MATTEL EUROPE B.V.;1;CQ
пняя NL.де01.б35646;REF-0098;'LUKAS BOLS B.V.';1;CQ
пняя PL.де01.б28084;REF-0008;BRITISH AMERICAN TOBACCO POLSKA S.A.;1;CQ
пняя PL.де01.б28613;REF-0008;BRITISH AMERICAN TOBACCO POLSKA S.A.;1;CQ
пняя PL.де01.б32388;REF-0022;PHILIP MORRIS POLSKA S.A.;1;CQ
пняя PL.де01.б32699;REF-0008;BRITISH AMERICAN TOBACCO POLSKA S.A.;1;CQ
пняя PL.де01.б33236;REF-0008;BRITISH AMERICAN TOBACCO POLSKA S.A.;1;CQ
пняя PL.де01.б33347;REF-0008;BRITISH AMERICAN TOBACCO POLSKA S.A.;1;CQ
пняя PL.де01.б33654;REF-0022;PHILIP MORRIS POLSKA S.A.;1;CQ
пняя PL.де01.б34149;REF-0022;PHILIP MORRIS POLSKA S.A.;1;CQ
пняя PT.юч85.б29603;REF-0167;'SOGRAPE VINHOS S.A.';0;CQ
пняя RO.де01.б31930;REF-0020;B.A.T. (U.K. AND EXPORT) LIMITED REPRZENTAT FISCAL DE B.A.T. ROMANIA INVESTMENT SRL;1;CQ
пняя RO.де01.б33443;REF-0020;B.A.T. (U.K. AND EXPORT) LIMITED REPRZENTAT FISCAL DE B.A.T. ROMANIA INVESTMENT SRL;1;CQ
пняя RU.юе45.б47374;REF-0080;ннн 'опнлшькеммюъ цпсоою 'кюднцю';1;CQ
пняя RU.юе45.д27841;REF-0079;ннн 'псяяйхи ярюмдюпр бндйю';1;CQ
пняя RU.юе71.б02835;REF-0087;'ннн''оепбши йсоюфмши гюбнд'' ';0;CQ
пняя RU.юх47.б01551;REF-0187;нюн'люпххмяйхи кхйепн-бнднвмши гюбнд';0;CQ
пняя RU.юъ47.д01553;REF-0186;'йюксфяйне нюн йпхярюкк';0;CQ
пняя RU.оо66.б02878;REF-0007;ннн 'оерпн';1;CQ
пняя RU.оп62.б03596;REF-0065;гюн 'кхццер-дсйюр';1;CQ
пняя RU.оп62.б03597;REF-0065;гюн 'кхццер-дсйюр';1;CQ
пняя SE.юб09.б31193;REF-0181;'V&S VIN & SPRIT AB';0;CQ
пняя SG.де01.б28614;REF-0009;BRITISH AMERICAN TOBACCO SINGAPORE PTE LTD;1;CQ
пняя SG.де01.б35357;REF-0009;BRITISH AMERICAN TOBACCO SINGAPORE PTE LTD;0;CQ
пняя TR.де01.б28619;REF-0010;JTI TUTUN URUNLERI SANAYI A.S.;1;CQ
пняя US.де01.б33485;REF-0138;'JAMES B.BEAM DISTILLING CO';0;CQ
пняя US.де01.б33719;REF-0203;'MAKER'S MARK DISTILLERY, INC';1;CQ
пняя US.де01.б35649;REF-0137;'JACK DANIELS DISTILLERY';0;CQ
пняя US.де01.д00247;REF-0093;'BACARDI BOTTLING CORPARATION';0;CQ
пняя US.оп71.б00378;REF-0163;'REBEL YELL DISTILLERY';0;CQ
пняя US.оп71.б84985;REF-0147;'HIRAM WALKER-PERNOD RICARD USA';1;CQ
пняя US.оп71.б85011;REF-0147;'HIRAM WALKER-PERNOD RICARD USA';1;CQ
50.04.01.912.о.029938.12.05;REF-0051;т.'LINDT&SPRUNGLI';1;CS
50.99.01.912.о.005010.04.07;REF-0057;т.'PATON'S MACADAMIAS PLATATIONS';1;CS
69.01.01.912.о.000497.07.05;REF-0045;т.'FERRERO S.P.A.';1;CS
77.01.04.912.о.054169.12.05;REF-0046;т.'GODIVA BELGIUM NV';1;CS
77.01.16.912.о.058230.09.06;REF-0054;т.'MASTERFOODS';1;CS
77.01.16.912.о.058233.09.06;REF-0038;т.'CHOCOLATERIE GUYLIAN N.V.';1;CS
77.01.16.912.о.058234.09.06;REF-0032;т.'AUGUST STORCK KG';1;CS
77.01.16.912.о.058237.09.06;REF-0052;т.'LIR CHOCOLATES LTD';1;CS
77.01.16.912.о.063209.10.06;REF-0057;т.'PATON'S MACADAMIAS PLATATIONS';1;CS
77.01.16.912.о.098493.12.07;REF-0053;т.'MARS NETHERLANDS BV';1;CS
77.01.16.912.о.098496.12.07;REF-0054;т.'MASTERFOODS';1;CS
77.01.16.913.о.098500.12.07;REF-0030;т. 'MARS GMBH';1;CS
77.01.16.918.о.026645.04.07;REF-0002;тХПЛЮ 'Altia Corporation' (юКРХЮ йНПОНПЕИЬМ);1;CS
77.99.02.912.д.003750.05.06;REF-0032;т.'AUGUST STORCK KG';1;CS
77.99.02.912.д.004370.05.06;REF-0045;т.'FERRERO S.P.A.';1;CS
77.99.02.912.д.004371.05.06;REF-0044;т.'FERRERO POLSKA SP.Z.O.O.';1;CS
77.99.02.912.д.007971.07.07;REF-0035;т.'CADBURY TREBOR BASSETT';1;CS
77.99.02.912.д.008268.07.07;REF-0042;т.'FERRERO OHG M.B.H.';1;CS
77.99.02.912.д.008822.07.07;REF-0042;т.'FERRERO OHG M.B.H.';1;CS
77.99.02.912.д.012402.12.06;REF-0040;т.'CLOETTA FAZER CONFECTIONERY LTD';1;CS
77.99.02.912.д.012403.12.06;REF-0040;т.'CLOETTA FAZER CONFECTIONERY LTD';1;CS
77.99.02.912.д.013410.11.07;REF-0056;т.'NESTLE INTERNATIONAL TRAVEL RETAIL SA';1;CS
77.99.02.912.д.014154.12.07;REF-0043;т.'FERRERO OHG M.B.H.';1;CS
77.99.02.913.д.008956.07.07;REF-0045;т.'FERRERO S.P.A.';1;CS
77.99.24.912.д.002182.03.07;REF-0047;т.'GOLDKENN S.A.';1;CS
77.99.27.912.д.001508.02.08;REF-0058;т.'TIN TREATS';1;CS
77.99.27.912.д.001510.02.08;REF-0058;т.'TIN TREATS';1;CS
77.99.27.912.д.001514.02.08;REF-0039;т.'CHURCHILL'S CONFECTIONARY PLC.';1;CS
77.99.27.912.д.001515.02.08;REF-0039;т.'CHURCHILL'S CONFECTIONARY PLC.';1;CS
77.99.27.912.д.001516.02.08;REF-0039;т.'CHURCHILL'S CONFECTIONARY PLC.';1;CS
77.99.27.912.д.001517.02.08;REF-0031;т.'A.L.SIMPKIN&CO/LIMITED';1;CS
77.99.27.913.д.001729.03.08;REF-0034;т.'BORDER BISCUITS LIMITED';1;CS
77.99.27.913.д.011575.10.07;REF-0041;т.'FARMHOUSE BISCUITS LIMITED';1;CS
77.99.28912.д.000281.01.09;REF-0045;т.'FERRERO S.P.A.';1;CS
77.99.58.912.д.007972.07.07;REF-0035;т.'CADBURY TREBOR BASSETT';1;CS
77.99.58.976.д.005846.05.07;REF-0055;т.'MAX KIENE ' GMBH;1;CS
78.01.01.913.о.003061.02.08;REF-0033;т.'BISCUITERIE JULES DESTROOPER NV';1;CS
78.01.05.915.о.010589.06.09;REF-0229;B.R.I. (BEAUTE, RECHERCHE&INDUSTRIE);1;CS
78.02.01.912.о.004242.09.04;REF-0040;т.'CLOETTA FAZER CONFECTIONERY LTD';1;CS
78.02.04.912.о.002195.05.07;REF-0037;т.'CHOCOLADEFABRIKEN LINDT&SPRUENGLI ';1;CS
78.02.04.912.о.003626.12.05;REF-0036;т.'CAFE-TASSE S.A.';1;CS
POCC FR.юб99.д07293;REF-0192;'CLARINS S.A.';1;DS
POCC FR.юб99.д07495;REF-0195;'LABORATOIRES CLARINS';1;DS
POCC FR.юб99.д07529;REF-0195;'LABORATOIRES CLARINS';1;DS
POCC FR.юб99.д08349;REF-0192;'CLARINS S.A.';1;DS
POCC FR.юб99.д08360;REF-0192;'CLARINS S.A.';1;DS
POCC FR.ой08.д02464;REF-0077;'INTERCOS';0;DS
POCC FR.ой08.д02464;REF-0192;'CLARINS S.A.';1;DS
POCC FR.ой08.д02464;REF-0195;'LABORATOIRES CLARINS';0;DS
POCC FR.ой08.д02464;REF-0196;'ASM';0;DS
POCC FR.ой08.д02464;REF-0197;'TECNOCOSMESI S.A.';0;DS
POCC FR.ой08.д02466;REF-0077;'INTERCOS';0;DS
POCC FR.ой08.д02466;REF-0192;'CLARINS S.A.';1;DS
POCC FR.ой08.д02466;REF-0195;'LABORATOIRES CLARINS';0;DS
POCC FR.ой08.д02466;REF-0196;'ASM';0;DS
POCC FR.ой08.д02466;REF-0197;'TECNOCOSMESI S.A.';0;DS
д-DE.де01.б00210;REF-0017;REEMTSMA CIGARETTENFABRIKEN GMBH;1;DS
д-DE.де01.б00447;REF-0014;JT INTERNATIONAL GERMANY GMBH;1;DS
д-DO.де01.б00134;REF-0070;OK CIGARS CORP INC;1;DS
д-DO.де01.б00164;REF-0070;OK CIGARS CORP INC;1;DS
д-DO.ор66.ю.00120;REF-0069;'TABACALERA A.FUENTE Y CIE';1;DS
д-JP.де01.б00650;REF-0026;JAPAN TOBACCO INC;1;DS
д-PL.де01.б00260;REF-0008;BRITISH AMERICAN TOBACCO POLSKA S.A.;1;DS
д-PL.де01.б00261;REF-0020;B.A.T. (U.K. AND EXPORT) LIMITED REPRZENTAT FISCAL DE B.A.T. ROMANIA INVESTMENT SRL;1;DS
д-PL.де01.б00448;REF-0064;'GALLACHER POLSKA SP.Z.O.O.';1;DS
д-PL.де01.б00535;REF-0008;BRITISH AMERICAN TOBACCO POLSKA S.A.;1;DS
д-PL.оп62.ю.00577;REF-0022;PHILIP MORRIS POLSKA S.A.;1;DS
д-RU.де01.б00449;REF-0007;ннн 'оерпн';1;DS
д-UK.де01.б00446;REF-0019;GALLAHER LIMITED;1;DS
пняя AT.юб80.д01047;REF-0205;т.'SILHOUETTE INTERNATIONAL SCHMIED AG';1;DS
пняя AT.юб80.д07925;REF-0205;т.'SILHOUETTE INTERNATIONAL SCHMIED AG';1;DS
пняя BE.де01.д00889;REF-0038;т.'CHOCOLATERIE GUYLIAN N.V.';1;DS
пняя BE.ой05.д.01460;REF-0217;ESTEE LAUDER  AG LACHEN;0;DS
пняя BE.ой05.д.01460;REF-0218;ESTEE LAUDER S R.L.;0;DS
пняя BE.ой05.д.01460;REF-0219;ESTEE LAUDER K.K. (KABUSHIKI KAISHA);0;DS
пняя BE.ой05.д.01460;REF-0220;ESTEE LAUDER S.N.C.;0;DS
пняя BE.ой05.д.01460;REF-0221;ESTEE LAUDER N.V.;1;DS
пняя BE.ой05.д.01460;REF-0222;ESTEE LAUDER COSMETICS LTD;0;DS
пняя BE.ой05.д.01460;REF-0223;ESTEE LAUDER COMPANIES GMBH&CO. OHG;0;DS
пняя BE.ой05.д.01460;REF-0224;ESTEE LAUDER COSMETICS LTD;0;DS
пняя BE.ой05.д.01460;REF-0225;ESTEE LAUDER COMPANIES INC;0;DS
пняя BE.ой05.д01360;REF-0221;ESTEE LAUDER N.V.;1;DS
пняя BE.ой05.д01388;REF-0217;ESTEE LAUDER  AG LACHEN;0;DS
пняя BE.ой05.д01388;REF-0218;ESTEE LAUDER S R.L.;0;DS
