DP_SUP_ID;DF_USD_ID;DF_SUP_ID;NAVID;SUP_NAME
11728840;0;0;0;A33000 ARDEN LAGERFELD
15872568;24612378;24612378;0;A33315+ AEROBRIDGE OOO
0;10907290;10907290;0;A33366 ALKOMIR OOO
0;10924112;10924112;0;A33880 ALD INT FASHION
12708724;0;0;0;A3400000 йнмярюмрхмнонкэяйюъ
16223683;0;0;0;A44441 юпнмю ннн                                                                                    
0;12922092;12922092;0;A44444+ AMADEUS
15963727;0;0;0;A45698 ART ALLIANCE LTD
0;22424977;22424977;0;A54321 ALLIED BRANDS
0;21453663;21453663;0;A55516 ARTISAN ESTERK
16223884;0;0;0;A55552 юмрюпея                                                                                      
16223425;0;0;I_SUP115;A55555 ннн йНЛОЮМХЪ юККХЦЮРНП
16222300;45121100;45121100;0;A65432 AVTOGRAF
16192379;44809367;44809367;I_SUP010;A72508 юъйя-опеяя ннн
16038988;0;0;0;A75444 яРНКХВМШИ чБЕКХПМШИ гЮБНД
0;45121220;45121220;0;A77332 L'ATELIER
16223492;0;0;0;A88881 юпхюл
0;10924080;10924080;0;A99996 ALMAZJEWELIR EXPORT
16222230;0;0;0;AAT00001 ART ALIANCE TRADING
0;15182376;15182376;0;AB1111+ ABBYY
15347108;0;0;0;AB55555 юпр аюгюп
15861076;39373863;39373863;0;AB9999+ AEROBRIDGE UNION
15929513;0;0;0;AD00000 AF_DM
0;42565954;42565954;0;AD12468 GREENFIELD INTERVEST LTD
16222218;0;0;0;AE3333 AEGNA
0;10924118;10924118;0;AEROFIRST
10902895;0;0;0;AEROFIRST_RBN
0;10924082;10924082;0;AEROMAR
0;10907439;10907439;0;AEROMAR_RBN
16223048;0;0;0;AHK111 HELLO KITTY ARIAL
0;45126209;45126209;O_SUP664;AIR AFFINITY LIMITED
16223212;45124188;45124188;0;AJ00001 AJMAL
16222783;45123556;45123556;0;AJ5545 Alexandre J лХМХСЛ
0;10931266;10931266;0;AL45115 ALOKOZAY F2E
16223792;45125537;45125537;0;AL55111 ALAIA BPI                                                                                   
16223429;0;0;I_SUP399;AL55544 юкэ рпеид
0;33547545;33547545;0;AL88888 MASTER SERVICE COMPANY
15233565;0;0;0;AM10001 A.MARTINI пХЬЩЯ
0;43333871;43333871;0;AM11111 ANTHIME MOULEY
16223067;0;0;0;AN2014 ARIAL(SOCHI / NOVOSIBIRSK)                                                                   
0;45125271;45125271;0;AO12345 ALYSON OLDOINI Interlux 2
15640999;0;0;0;AP 12345 AGENT PROVOCATEUR-едхмюъ ебпною
16223624;21046073;21046073;0;AR10016 AGATHA RUIZ DE LA PRADA Puig
0;45126210;45126210;O_SUP667;ARCOROS INC.
16135458;0;0;0;ARIAL
0;42829361;42829361;O_SUP003;ART ALLIANCE DELUXE LTD
0;45126208;45126208;O_SUP004;ART ALLIANCE LTD (UK)
15407859;0;0;0;ART BAZAR GR
0;31862246;31862246;0;AS23456 THE ART OF SHAVING
0;45126191;45126191;O_SUP668;ASHFORD                                                                                             
16223739;45125582;45125582;0;ASI412 ASI OOO                                                                                      
10902896;0;0;0;B000005 хрюкйнл
10902897;0;0;0;B00001 VASKO RBL
10902898;0;0;0;B00002 BONA CONFECTIONARY ZAO
10902899;0;0;0;B00003 BEVERIDGIS AND TRAIDING
10902900;0;0;0;B00004 BAZA-4 ZAO
10902901;0;0;0;B00005 BELLIGEN TD
11168902;0;0;0;B0005 бпелемю цндю рд
10902903;0;0;0;B10000 TP BIRNS
0;10907346;10907346;0;B10001 BARAKA JEW - GENERLUX
10902904;0;0;0;B10001 BORALEX
0;10924077;10924077;0;B10003 BREADWINNERS
0;10907347;10907347;0;B10018 DEL BURBERRYS
16222992;10907387;10907387;0;B10027 ISSEY MIYAKI BPI
0;10907293;10907293;0;B10028 JEAN PAUL GAUTIER BPI
16222990;10908145;10908145;0;B10029 NARCISO RODRIGUES BPI
0;10907294;10907294;0;B10041 BRAUN
0;10907440;10907440;O_SUP485;B10044 BROWN FORMAN BEVERAGE
0;10907348;10907348;0;B10055 BARDINET SA
0;10907244;10907244;0;B10062 BAUME & MERCIER SA
0;10907547;10907547;0;B10080 BLAVOD DRINKS LTD
0;10907388;10907388;O_SUP488;B10081 BORIE-MANOUX WINES
0;10907441;10907441;I_SUP183;B11111 TORGSERVICE XXI BABAEVSKOE
0;10907185;10907185;0;B11115 BALMAIN WATCH
12499656;18666543;18666543;0;B11555 BONA OOO
13534474;0;0;0;B1212345 ахц рпщид ннн
0;10907389;10907389;0;B12345 BALMAIN
0;23217598;23217598;0;B123456 BOLS SP.Z.O.O
14008192;0;0;0;B13578 BVLGARY - едхмюъ ебпною
16223699;0;0;I_SUP406;B14270 апюгхя кнцхярхй                                                                              
14348260;10907549;10907549;0;B14673 BIOTHERM PBI
0;10922016;10922016;0;B14674 BIOTHERM SKY
0;10923965;10923965;0;B20100 BARAKA WATCH
14030123;0;0;0;B23456 BALDESSARINI -едхмюъ ебпною
0;10907550;10907550;0;B25600 BEVERAGES & TRADING
0;28366568;28366568;0;B33333 BELVEDERE
14008004;0;0;0;B34567 BOSS - едхмюъ ебпною
0;30663658;30663658;O_SUP492;B51551 BISQUIT COGNAC
16222849;45123746;45123746;0;B54321 BYREDO ESTERK
0;45125360;45125360;0;B55533 BOTTEGA
0;10907551;10907551;0;B55545 BRONCES E.TORTOSA
16222627;0;0;0;B55555 аеметхр
15980829;0;0;0;B56789 BOBBY BROWN
0;22567051;22567051;0;B66650 BOUCHERON PBI
0;11381585;11381585;0;B68701 BACARDI GMBH
0;43359682;43359682;0;B69870 BALLY SA I VIA INDUSTRIA
16150193;42521079;42521079;0;B87452 BRIC'S
0;10907295;10907295;0;B89625 LUXOTTICA UK IRL
0;42521050;42521050;0;B95137 BRACCIALINI
0;45120829;45120829;0;B99911 BAIKAL JSL
13672106;0;0;0;B99999 BIOTHERM SKY
15054381;0;0;0;BB55515 BETTY BARCLAY - едхмюъ ебпною
0;10907390;10907390;0;BD12345 BREITLING/DARROW GROUP
0;45120899;45120899;0;BE56565 BEGEMOT
0;45125713;45125713;0;BEST WINE (SIA MONO)                                                                                
0;0;0;O_SUP669;BEST WINE CORPORATION
16223339;45124232;45124232;0;BIK1113 OOO BIK
0;10907245;10907245;0;BJ12345 BJ FITZPATRICK & CO
0;0;0;O_SUP489;BOLS SP.Z.O.O
16223507;12143104;12143104;0;BPI
15979121;0;0;0;BR00005 BROSWAY
16223562;43255913;43255913;0;BR75321 BURBERRY BPI
16222668;43252561;43252561;0;BS55545 BODY SHOP
16223608;0;0;0;BV10020 BOTTEGA VENETA
0;45125243;45125243;0;BV10020 BOTTEGA VENETA COTY
0;28479158;28479158;0;BV12399 BVLGARY
10902906;0;0;0;C00001 COCA-COLA USD
11076376;0;0;0;C00002 я-2 тхплю OOO
11041678;0;0;0;C00005 ябй рд гюн
10902907;0;0;0;C00010 KC FUDS
0;10907349;10907349;0;C00011 CENTROPEL
10968807;0;0;0;C00012 кхмхъ вхмйсе OOO
0;10907350;10907350;0;C02376 DAVID CAMPARI
0;10907391;10907391;O_SUP496;C05723 CAMUS INTERNATIONAL
10902908;0;0;0;C10000 CASIO 000
0;10907352;10907352;0;C100006 CARAN D'ARCHE
0;10924098;10924098;0;C10002 CARTIER INT YSL PRODUCTS
0;10907246;10907246;0;C10014 CRABTREE & EVELYN
0;10907445;10907445;0;C10020 CLINIQUE E.Lauder
0;10907488;10907488;O_SUP215;C10023 CARRERA JEWELLERY
0;10907552;10907552;I_SUP171;C10031 CARTIER INT FASHION
0;28413105;28413105;0;C10032 CLARINS SWAROVSKI
15418168;10907489;10907489;0;C10033 CLARINS EXPORT DIVISION
0;10907186;10907186;0;C10035 CHATEAU DE COGNAC
0;10907297;10907297;0;C10036 CLARINS AZZARO
0;10907187;10907187;0;C10037 CLARINS THIERRY MUGLER
0;20842771;20842771;0;C10039 CLARINS PORSCHE DESIGN
0;10907553;10907553;0;C10052 CHANEL SKY
0;10923866;10923866;0;C10061 CHAMBORD
0;10907554;10907554;0;C10063 COGNAC FRAPIN
0;10907490;10907490;0;C10070 COCA-COLA REFRESHMENT
0;10907188;10907188;0;C10085 CHRONOLUX SA CHOPARD
0;10907491;10907491;0;C10260 CANON EURO
0;30320649;30320649;0;C10300 CRISTALL-LEFORTOVO OOO
10902911;0;0;I_SUP071;C11110 йнйю-йнкю щивахях ебпюгхъ
0;10907392;10907392;0;C11123 CARRERA WATCHES
0;45124331;45124331;0;C11223 COCCINELLE
10902912;0;0;0;C15000 CHASPROMTORG ZAO
14832869;28487171;28487171;0;C21212 CHURCHILLS
15091267;0;0;0;C23456 COTY
15913684;10907446;10907446;0;C27565 CHANEL PARFUMS
0;10907298;10907298;0;C31803 CHRISTIAN DIOR SKY
15316079;10907189;10907189;0;C31805 CHRISTIAN DIOR
14888364;0;0;0;C32165 CURAPROX
0;10907247;10907247;0;C33343 CASIO ELECTR USD
14008005;0;0;0;C34678 CALVIN KLEIN - едхмюъ ебпною
0;11072291;11072291;0;C44434 CASIO ELECTR EURO
14008007;0;0;0;C54320 CHLOE - едхмюъ ебпною
0;11062438;11062438;0;C54321 CASIO WATCHES
0;31846685;31846685;0;C55555 CELLCOSMET & CELLMEN
11092582;10907447;10907447;0;C60708 L CONNAUGHTON & SON
0;35299122;35299122;0;C69999 RASKAT TD
0;20723886;20723886;0;C77708 CIRCUS
0;10907448;10907448;0;C87452 A.T.CROSS LTD
0;42829327;42829327;0;C96385 CEDC
15401914;0;0;0;C99918 McG CONSULTANTS
0;10907248;10907248;0;C99989 CONNECT INT LTD
14008009;0;0;0;CA12345 C.AGUILERA - едхмюъ ебпною
0;38464910;38464910;0;CA12345 CORPORATE AGENCIES LIMITED
16222308;0;0;0;CA16543 оюптчл оюкюя                                                                                
16223206;45124180;45124180;0;CC00001 CLIVE CHRISTIAN ESTERK
0;45125786;45125786;0;CC6654 CAVALLI CLASS                                                                                
15582048;0;0;0;CC87654 COMME DES GARCONS едхмюъ ебпною
0;10907555;10907555;0;CE17332 CENTAUR TRAVEL RETAIL
15012418;0;0;0;CE32100 CERRUTI - едхмюъ ебпною
14008006;0;0;0;CH12345 C.HERRERA - едхмюъ ебпною
0;0;0;O_SUP138;CHANEL SKY
0;20820656;20820656;0;CK11111 CK WATCH & JEW Co
13934647;0;0;0;CK11111 CK WATCHES
0;10907493;10907493;O_SUP101;CK1234 CALVIN KLEIN WATCHES
0;12153978;12153978;O_SUP088;CLARINS GROUP
0;12153976;12153976;;CLINIQUE GROUP
16223743;0;0;0;CM00006 CREME DE LA MER                                                                             
0;25775436;25775436;0;CM00006 CREME DE LA MER E.Lauder
16145612;0;0;0;CO2222 CODELLO
0;37872437;37872437;0;CO78404 COCOROSE
16223578;0;0;0;COTY
0;12153979;12153979;0;COTY GROUP
0;10907249;10907249;0;CS12345 CASIO WATCHES
10902913;0;0;0;D00001 DENVIEW U.E.
10902914;0;0;0;D00002 DMITROV-ALKO OOO
0;10907190;10907190;0;D0001 DISTILLERIA BOTTEGA
0;26043240;26043240;0;D00235 DEBRISE DULAC
11003144;0;0;0;D10000 дхкюм+ OOO
10902916;0;0;0;D10001 DENVIEW RBL
0;10907250;10907250;0;D10003 OETTINGER DAVIDOFF AG                                                                        
13530515;0;0;I_SUP148;D10005 йщмдхкюим ннн
0;10923873;10923873;0;D10026 DOMAINE LAROCHE
0;10907449;10907449;0;D10029 DURACELL BATTERIES NV
0;10907354;10907354;0;D10054 V.D BAUWEDE DARROW
0;10907494;10907494;0;D10055 JEAN MARCEL DARROW GR
0;10907450;10907450;0;D10056 FIDIA GIOIELLI S.P.A
0;10907299;10907299;0;D10057 FIORELLA GIOELLI
0;10907191;10907191;0;D10059 UNOAERRE
0;10907451;10907451;0;D10150 DARROW GROUP LTD
0;10907452;10907452;0;D11153 MAGERIT DARROW EURO
0;10907251;10907251;0;D11157 FIORELLA GIOELLI EURO
0;10907252;10907252;;D12321 DUBEY & SCHALDENBRAND
0;43267543;43267543;0;D12329 OOO цй дЮИЛНМД
0;10924117;10924117;0;D12345 DARROW GROUP SUNGL
16222253;10922384;10922384;0;D20030 DOLCE & GABBANA P&G
0;45123004;45123004;0;D30030 DOLCE & GABBANA MAKE-UP P&G
0;23281023;23281023;0;D33000 DISPLAY DESIGN COMPANY
0;10907453;10907453;0;D33333 DNK OOO
0;10907355;10907355;0;D34567 DOLCE & GABBANA
14008010;0;0;0;D35678 D&G - едхмюъ ебпною
10902918;0;0;0;D50005 DEMOS-APS AOOT
0;24892618;24892618;0;D50010 D&G P&G
11715231;0;0;0;D5005005 до-рпеид ннн
0;10907192;10907192;0;D55555 DILAN JSC
0;24814839;24814839;0;D55570 DRIMLEKS
0;10907454;10907454;0;D56007 DELSEY
0;10907193;10907193;0;D65432 DMD GOLD COLLECTION
0;10907495;10907495;0;D66661 EVRASIA OOO
14008011;0;0;0;D67890 DAVIDOFF - едхмюъ ебпною
0;10924106;10924106;0;D99979 AMBASSADORS CHOICE
0;10907195;10907195;0;D99980 DRAMBUIE LIQUER CO
0;10907301;10907301;0;D99989 DUTY FREE SERVICES
15981558;45124149;45124149;0;DE22222 DESIGUAL
0;31966571;31966571;0;DF0000 DUTY FREE
11310611;0;0;0;DG10067 D&G WATCHES
14008124;0;0;0;DG23456 DOLCE&GABBANA - едхмюъ ебпною
0;10907357;10907357;0;DK14775 DKNY WATCHES SKY
15981228;45123595;45123595;0;DK33331 DYRBERG KERN
16222279;10907358;10907358;0;DR5432 DE RIGO
0;45123194;45123194;0;DU55545 DUC d`O
0;10907197;10907197;0;DUTY FREE SHOP - SHANNON
15962795;42073729;42073729;0;DZ55555 DREVO ZHIZNI OOO
10902919;0;0;0;E00001 APOLLO ELECTRONICS
10902921;0;0;0;E00003 INTERPRODUCT ZAO
11163369;0;0;0;E00004 ебпюяепбхя ннн
10902922;0;0;0;E00005 ELECTROCOMPROECT
10902924;0;0;0;E0002 UVELCOM OOO
16080150;32653273;32653273;0;E03033 EDOX
10912753;0;0;I_SUP123;E10000 едхмюъ ебпною ункдхмц
10908930;0;0;0;E10001 щйяоняепбхя OOO
16222630;10907556;10907556;0;E10022 ESCADA P&G
0;10907253;10907253;0;E10023 ESCADA SKY
0;10907496;10907496;0;E10038 ETUD UNION OF ARTISTS
0;10907497;10907497;0;E10050 ESSE
0;10907359;10907359;0;E10051 RATTI
10902925;0;0;0;E11000 EVRAZIYA OOO
0;10907455;10907455;0;E11011 ESTERK LUX PARFUME
13085509;0;0;0;E11115 EUROITALIA DP
14122386;16904957;16904957;0;E12345 ES.MOLECULES ESTERK
16223481;25843088;25843088;0;E12468 ESTERK
0;25958784;25958784;0;E14281 ESPERANTO VIN OOO
16222207;0;0;0;E15200 LAMARTHE Elit bags
16064646;0;0;0;E16100 DELSEY Elit bags
16222237;0;0;0;E17100 Giorgio Fedon & Figli Spa
0;10921244;10921244;0;E18515 EUROITALIA SKY
14183052;0;0;0;E20002 щйяонрпеид ннн
16223503;0;0;0;E22222 ебпюгхъ
16223530;0;0;I_SUP161;E25555 щкхр ащцг (CK)
0;10907498;10907498;0;E25700 ERGODATA
0;10907254;10907254;0;E33961 HUGO BOSS P&G
15644008;0;0;0;E33962 HUGO BOSS PARFUME
0;10907302;10907302;0;E33962 HUGO BOSS PARFUMS SKY EURO
16222631;10907255;10907255;0;E33965 LACOSTE P&G
0;11012333;11012333;0;E33967 BALDESSARINI P&G
14030159;0;0;0;E34567 ESCADA - едхмюъ ебпною
14345858;29062819;29062819;0;E52529 ELIT
15855616;40173724;40173724;0;E55545 RAMON MOLVIZAR Exility
16165067;0;0;0;E55546 TORRE EXILITI
0;44514879;44514879;0;E55546 TORRE EXILITY
16165068;44514880;44514880;0;E55547 MASQUE Exility
16165069;44514881;44514881;0;E55548 ROSE & Co Exility
16165070;44514882;44514882;0;E55549 SEVIGNE Exility
16222195;45120509;45120509;0;E55550 X-RAY Exility
16222203;45120567;45120567;0;E55551 PECCATO Exility
16223569;0;0;0;E55552 GIULIETTA CAPULETI Exility
16223570;0;0;0;E55553 MIMMINA FLOWER Exility
10924931;0;0;0;E55555 ESSE DP EURO
0;42750498;42750498;0;E73621 ESCADA WATCHES
15981401;0;0;0;E77712 ESTER BIJOUX
0;33678924;33678924;0;E86421 EASTPAK
0;10907198;10907198;0;E88898 ECTACO
0;10907303;10907303;0;E88899 ECTACO SKY
16222206;0;0;0;ELIT BAGS GROUP
0;10907360;10907360;0;EMBORG EMBORG AO RBN
0;10907256;10907256;0;EMBORG USD
16222258;45120906;45120906;0;EN12355 ENNS
16171437;44153565;44153565;0;EN44567 ELECTRONIC NOVELTIES
16223564;0;0;0;ES12345 ELIE SAAB
0;28431636;28431636;0;ES12345 ELIE SAAB BPI
0;45123896;45123896;0;ES33315 щяйэч яхця
16223506;12580967;12580967;O_SUP113;ESTEE LAUDER GROUP
0;41947843;41947843;0;ESTERK PARFUM ннн
16222986;0;0;0;ESTERK PARFUME
0;20809920;20809920;O_SUP124;EUROITALIA
0;11143601;11143601;0;EV16775 EVRASERVIS OOO
16165066;44514878;44514878;0;EXILITY
0;10907393;10907393;0;F10017 DEL FASHION FLO LTD
0;10907500;10907500;O_SUP219;F11110 FREDERIQUE CONSTANT
10902929;0;0;0;F11111 FANAGORIA TRADE HOUSE OOO
15205853;0;0;0;F11116 FABER CASTELL
0;10907501;10907501;0;F11123 FANAGORIYA TD
0;10907257;10907257;0;F12222 FOSTERS
0;10907304;10907304;0;F12345 FOSSIL
14008193;0;0;0;F15666 FERRAGAMO - едхмюъ Eбпною
14108649;10907558;10907558;0;F33311 FREY WILLE
0;11104974;11104974;0;F33312 M.FREY WILLE FASHION
11307070;0;0;0;F3333300 FOLLI FOLLIE WATCHES
15968000;24207694;24207694;0;F35291 FENDI PARFUM
0;10907305;10907305;0;F45730 FRANCESCO SMALTO
12309424;0;0;0;F55545 FURLA
15263234;0;0;0;F55555 FRUITBERRY - едхмюъ ебпною
15115888;0;0;0;F55556 FOSSIL
0;45120563;45120563;0;F66321 FAZER BRANDS INTERNATIONAL
14425730;0;0;0;F87654 FERAUD - едхмюъ ебпною
0;11012386;11012386;0;F88999 FURLA
0;45125270;45125270;0;FB11123 F.BOCLET Interlux 2
16223877;45126060;45126060;0;FC00002 FERRARI CAVALLINO                                                                           
0;14416973;14416973;0;FE1234 FENDI SILK SA
16222285;0;0;0;FER123 FERRERO
0;25873704;25873704;O_SUP438;FER123 FERRERO TRADING LUX
0;10907394;10907394;0;FF33551 FOLLI-FOLLIE WATCHES
0;36154934;36154934;0;FO45678 FOSSIL
0;0;0;O_SUP506;FOSTERS
0;34335099;34335099;0;FP11111 F.PARTNERS OOO
10902930;0;0;0;G00001 MASTER DISTRIBUTERS
10902931;0;0;0;G00002 GOLD GRAIL
10902932;0;0;0;G0001 GROSS OOO
10902933;0;0;0;G10000 GELEO OOO
0;10907502;10907502;0;G10002 GIVENCHY COUTURE EURO
0;10923865;10923865;0;G10004 DEL GIVENCHY FFR
10902937;10907503;10907503;O_SUP191;G10016 GUESS - IBB B.V.
15981116;10907559;10907559;O_SUP439;G10036 GODIVA S.A. BELGIUM
0;10907258;10907258;0;G10037 GUYLIAN NV/SA
0;10907561;10907561;0;G10044 GOLDMAJOR LTD
0;10907395;10907395;0;G10046 GUESS - IBB SKY
0;10907361;10907361;0;G11100 GK GROSS OOO
10902934;0;0;0;G11110 MASTER DISTRIBUTERS RBL
10902935;0;0;0;G11111 GIVENCHY COUTURE RBN
0;15106113;15106113;0;G11111+ GALEREYA BLAGOLEPIYA
10902936;0;0;0;G11112 GIVENCHY COUTURE EURO
0;10907306;10907306;0;G122333 GROSSE JEW SKY
0;10907201;10907201;0;G19253 GROSSE UK LTD
14008125;0;0;0;G20304 GUCCI - едхмюъ ебпною
0;10969784;10969784;0;G29001 GRADIENT
0;21453622;21453622;0;G33315 ANNICK GOUTAL ESTERK
10902938;0;0;0;G33322 GENERLUX TRADING S.A. DP
0;11139624;11139624;0;G333666 GOLDKENN
0;17129947;17129947;0;G37123 GREATWELL INVESTMENTS LTD
0;26082124;26082124;0;G54321 GOURJI (Rub)
0;10907259;10907259;0;G55545 GENERLUX TRADING SA
0;42565904;42565904;0;G55551 GANCIA
0;42828643;42828643;0;G59870 GUCCI
0;10907202;10907202;0;G73611 W.GRANT & SONS
0;11106590;11106590;0;G88898 GLENMORANGE
15981117;10907504;10907504;0;G93124 GUERLAIN PARFUMS
0;10907396;10907396;0;G93125 GUERLAIN SKY
0;35051453;35051453;0;G98765 GOURJI ITALY(EURO)
16223409;45124774;45124774;0;GC0003 ннн хМБЕЯР цЕН пЕЯСПЯ (Golden-Candies)
0;10907203;10907203;0;GG12345 GOLDEN GRAIL LTD
0;45121228;45121228;0;GI20000 GIVENCHY PARFUME DP
16034955;0;0;I_SUP026;GR00026 йнлоюмхъ цпхмтхкдя ннн                                                                      
0;36940093;36940093;0;GREATWELL INVESTMENTS LTD
14165253;0;0;0;GS12334 GWEN STEFANI - едхмюъ ебпною
0;39810224;39810224;0;GS12345 GOLDEN SPIRIT SA
0;10907362;10907362;0;GU12345 SOCRAFI SERVICES SA
0;10907260;10907260;0;H10001 HUGO BOSS FASHION SKY
0;10907261;10907261;0;H10002 HASBRO HUNGARY LTD
0;10907307;10907307;0;H10018 HARRISON MUSIC IRL
0;10907204;10907204;0;H10023 HENNESSY COGNAC
0;10907205;10907205;0;H10027 HERMES FASHION
0;10923892;10923892;0;H10034 HARRISON VIDEO USD AC
0;10922001;10922001;0;H10052 HERMES SKY
16223502;0;0;0;H10053 HERMES
0;10907206;10907206;0;H10053 HERMES PARFUMS
0;10907308;10907308;0;H10055 HARRISON HUNTER
0;10907456;10907456;0;H10063 HARRISON MUSIC USD
0;10923851;10923851;0;H10065 HARRISON MUSIC STG
0;10907562;10907562;0;H10066 DEL MANBOW FINANCE
0;18537636;18537636;O_SUP510;H1234 HERMANN JOERSS
0;10907563;10907563;0;H22222 HASLACH GMBH
15904373;0;0;I_SUP300;H44525 ннн унпейю рпеидяепбхя
0;10907564;10907564;0;H45812 HAMMER+SOHNE
0;10907363;10907363;0;H50050 T.HILFIGER E.LAUDER
16223555;45124563;45124563;O_SUP665;H66500 HIBWAY LTD. T/A SAFFON SUPPLY SERVICES
0;15218200;15218200;0;H99999 ED HARDY
15481552;0;0;0;HD98765 HANSE DISTRIBUTION GmbH
16223268;45124194;45124194;0;HIBWAY LTD
15357863;0;0;0;HK11111 HELLO KITTY пХЬЕЯ
0;45125754;45125754;0;I_SUP417 ннн лхп хцпсьей                                                                            
10902939;0;0;0;I00001 AGROS-EKO
10902941;0;0;0;I00003 COSMOPOLITAN COSMETICS
15862053;39846327;39846327;I_SUP160;I00022 хлоепхюк ннн                                                                                 
0;10907364;10907364;0;I10011 IBB
0;10907505;10907505;0;I10050 IBB UK
0;10907397;10907397;0;I10099 IRAKLIS KALLISTHENIS
0;10907309;10907309;0;I10111 ARTIS ORBIC - IRISH D
0;10907506;10907506;0;I11112 ISA SpA
14875506;0;0;0;I13567 ICEBERG - едхмюъ ебпною
10915168;0;0;0;I22222 ISA SPA DP RBN
0;12608284;12608284;0;I23456 ISF INTERNATIONAL SPIRITUS FORUM GMBH
16223195;0;0;0;I33333 INTEL MSK
0;10907310;10907310;0;I42782 IRISH DRESDEN
15103684;0;0;0;I44444 ICE WATCH
16152907;44185425;44185425;0;I54333 F.BOCLET INTERLUX
12584095;0;0;0;I54444 рй хмрек рпеид
0;32456993;32456993;0;I55588 IAN MACLEOD DISTILLERS LTD
16222786;45123572;45123572;0;I65432 ALYSON OLDOINI. Interlux
16152906;44185424;44185424;0;I75666 KORLOFF INTERLUX
15948027;42520715;42520715;0;I98765 SILLAGE INTERLUX
0;22584136;22584136;0;IFD001 IFD LIMITED
15962875;42548796;42548796;0;IL98765 CARON хо хКЭХМЮ
16164160;44513352;44513352;0;IL98766 HISTOIRES DE PARFUMES хо хКЭХМЮ
16164158;44513353;44513353;0;IL98767 HOUBIGANT хо хКЭХМЮ
16164156;44513354;44513354;0;IL98768 MEMO хо хКЭХМЮ
16164157;44513355;44513355;0;IL98769 PRUDENCE хо хКЭХМЮ
16222663;0;0;0;IMPORT
16152905;44185423;44185423;0;INTERLUX
16223617;45125269;45125269;0;INTERLUX 2
16223791;45125722;45125722;0;INTER-PERFUMS                                                                                       
0;10907207;10907207;I_SUP192;IRISHBAR
10971587;0;0;0;IRISHBAR DP
16223847;0;0;I_SUP156;ISUP156 дшлнбяйне йнкаюямне опнхгбндярбн ннн                                                        
16223632;45125301;45125301;0;ISUP402 ннн оНЙПНБЯЙХИ ОПЪМХЙ
0;45125927;45125927;I_SUP419;ISUP419 хйпю.пс тсдяепбхя ннн                                                                       
16223893;0;0;0;ISUP431 ннн рнпцнбши днл псядек                                                                     
16223949;45126485;45126485;0;ISUP439 мнбше реумнкнцхх ннн                                                                        
13672184;0;0;0;J00001 JANEKE
0;42793944;42793944;0;J00007 JAMES BOND P&G
0;10907311;10907311;0;J10027 JACOBS SUCHARD DM ACC
0;10907398;10907398;0;J10029 JANNEAU
